L = 12, j = 1.0, jz = 0.5, g = 0.3, gamma = 0.9, threshold = 0, steps = 600, start = x 
b_1 = 1.1704699910719625, length: 8
 b_2 = 2.192572065582731, length: 8
b_228 = 11.62408421123915, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:44:30.706
b_229 = 11.398765482179096, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:44:52.25
b_230 = 11.25677686875848, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:45:13.919
b_231 = 11.154694772223412, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:45:35.516
b_232 = 11.108540152970503, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:45:57.013
b_233 = 11.094281118025782, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:46:18.545
b_234 = 11.13805400453473, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:46:40.219
b_235 = 11.251110601240368, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:47:01.714
b_236 = 11.534754493290253, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:47:23.27
b_237 = 11.989640628522407, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:47:44.827
b_238 = 12.464861214032878, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:48:06.478
b_239 = 12.768195927393238, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:48:28.027
b_240 = 12.72312855680961, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:48:49.599
b_241 = 12.372329942307347, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:49:11.073
b_242 = 11.963056319645093, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:49:32.841
b_243 = 11.627056469229775, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:49:54.406
b_244 = 11.372364674874571, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:50:15.974
b_245 = 11.140822236114817, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:50:37.563
b_246 = 10.913147197120695, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:50:59.298
b_247 = 10.758050486775694, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:51:20.832
b_248 = 10.737304437480951, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:51:42.377
b_249 = 10.795915971761382, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:52:03.834
