L = 12, j = 1.0, jz = 0.6, g = 0.3, gamma = 0.9, threshold = 0, steps = 600, start = x 
b_1 = 1.3453624047073711, length: 8
 b_2 = 2.209284777143801, length: 8
b_110 = 12.037740394070118, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:02:05.493
b_111 = 11.951986041623615, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:02:26.827
b_112 = 11.969073345881842, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:02:48.129
b_113 = 11.957516438085408, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:03:09.656
b_114 = 12.016839678910415, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:03:30.977
b_115 = 11.918049152008427, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:03:52.3
b_116 = 11.914046130476525, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:04:13.586
b_117 = 11.775981856511272, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:04:35.132
b_118 = 11.741826982001955, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:04:56.445
b_119 = 11.628161506814456, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:05:17.728
b_120 = 11.651633781130766, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:05:39.085
b_121 = 11.68162325335128, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:06:00.612
b_122 = 11.62339388273846, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:06:21.883
b_123 = 11.561437999556468, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:06:43.236
b_124 = 11.433063649010096, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:07:04.523
b_125 = 11.467566563601252, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:07:26.026
b_126 = 11.506131361053649, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:07:47.351
b_127 = 11.61990970751727, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:08:08.639
b_128 = 11.664525233569291, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:08:29.975
b_129 = 11.694646455322369, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:08:51.474
b_130 = 11.705452822521439, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:09:12.79
b_131 = 11.68049300010036, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:09:34.152
b_132 = 11.780829547827159, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:09:55.68
b_133 = 11.823280602881976, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:10:17.338
b_134 = 11.915201364599973, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:10:38.785
b_135 = 11.920242399463953, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:11:00.302
b_136 = 12.03333042257121, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:11:21.828
b_137 = 12.215342322749766, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:11:43.487
b_138 = 12.522194797532485, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:12:05.007
b_139 = 12.898244663927892, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:12:26.521
b_140 = 13.201547625790683, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:12:48.024
b_141 = 13.262841853454507, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:13:09.783
b_142 = 12.967952609699633, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:13:31.27
b_143 = 12.619631708449432, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:13:52.71
b_144 = 12.34836272587177, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:14:14.262
b_145 = 12.203329277747777, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:14:35.953
b_146 = 12.117961728513126, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:14:57.418
b_147 = 11.993941499590067, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:15:18.885
b_148 = 11.88825720622666, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:15:40.357
b_149 = 11.8012152623429, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:16:02.062
b_150 = 11.75914084860704, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:16:23.563
b_151 = 11.720656827944689, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:16:45.024
b_152 = 11.67898295619546, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:17:06.562
b_153 = 11.59108909608744, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:17:28.31
b_154 = 11.515159659282585, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:17:49.764
b_155 = 11.477440929924763, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:18:11.313
b_156 = 11.506806588579671, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:18:32.808
b_157 = 11.549931460433033, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:18:54.485
b_158 = 11.617283530124599, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:19:16.02
b_159 = 11.656549649661175, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:19:37.477
b_160 = 11.688946557130537, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:19:58.959
b_161 = 11.706654001444416, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:20:20.698
b_162 = 11.748720838944985, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:20:42.201
b_163 = 11.740827361996534, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:21:03.703
b_164 = 11.70962162740685, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:21:25.22
b_165 = 11.682651126729725, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:21:46.913
b_166 = 11.657487928237401, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:22:08.447
